company_code,month,level4_key,pbi_rows,synapse_rows,row_diff,pbi_actual,synapse_actual,actual_diff,pbi_budget,synapse_budget,budget_diff
EA37,2025-01,KS00/25109117,1,1,0,-538858.64,169517.19,-708375.83,0,0,0
EA12,2025-12,KS00/31302110,3,3,0,683002.24,0,683002.24,0,0,0
EA18,2025-12,KS00/31302210,1,1,0,576851.64,0,576851.64,0,0,0
EA18,2025-12,KS00/91001120,1,1,0,-576851.64,0,-576851.64,-29623.01,-29623.01,0
EA18,2025-01,KS00/24014290,0,1,-1,0,-554488.07,554488.07,0,0,0
EA11,2025-12,KS00/88202210,1,0,1,-549403.44,0,-549403.44,0,0,0
EA22,2025-12,KS00/19100110,2,2,0,0,536974,-536974,0,0,0
EA12,2025-12,KS00/31302410,1,1,0,-502071.54,0,-502071.54,0,0,0
EA01,2025-01,KS00/59301110,1,0,1,-420306.55,0,-420306.55,0,0,0
EA01,2025-01,KS00/31005140,1,1,0,989394.82,569088.27,420306.55,0,0,0
EA37,2025-01,KS00/24014282,0,5,-5,0,-414468.3,414468.3,0,0,0
EA12,2025-12,KS00/31302210,1,1,0,-407000,0,-407000,0,0,0
EA12,2025-12,KS00/91001120,3,3,0,407000,0,407000,541011.32,541011.32,0
EA37,2025-10,KS00/24014280,0,3,-3,0,362196.82,-362196.82,0,0,0
EA01,2025-02,KS00/80201010,1,1,0,342570,0,342570,339622.4,339622.4,0
EA37,2025-02,KS00/24014285,0,2,-2,0,342191.61,-342191.61,0,0,0
EA01,2025-01,KS00/80201010,1,1,0,314391.4,-439.47,314830.87,339622.4,0,339622.4
EA01,2025-02,KS00/80202010,1,1,0,391857.72,78707.72,313150,84905.6,84905.6,0
EA18,2025-02,KS00/24014290,0,1,-1,0,307308.59,-307308.59,0,0,0
EA37,2025-04,KS00/24014285,0,2,-2,0,-305559.68,305559.68,0,0,0
EA01,2025-01,KS00/31908200,1,1,0,0,296488.25,-296488.25,0,0,0
EA37,2025-05,KS00/24014285,0,2,-2,0,267381.04,-267381.04,0,0,0
EA37,2025-01,KS00/24014285,0,2,-2,0,-264524.05,264524.05,0,0,0
EA37,2025-06,KS00/24014285,0,2,-2,0,-249298.91,249298.91,0,0,0
EA37,2025-08,KS00/24014285,0,2,-2,0,-243393.85,243393.85,0,0,0
EA37,2025-07,KS00/24014285,0,2,-2,0,231813.85,-231813.85,0,0,0
EA18,2025-04,KS00/24014290,0,1,-1,0,-228552.67,228552.67,0,0,0
EA18,2025-11,KS00/24014290,0,1,-1,0,-226446.84,226446.84,0,0,0
EA11,2025-01,KS00/91001120,1,0,1,224990,0,224990,185612.16,0,185612.16
EA11,2025-01,KS00/31302210,1,1,0,2163710,2388700,-224990,0,0,0
EA18,2025-01,KS00/31302210,1,1,0,799772.14,1018586.05,-218813.91,0,0,0
EA18,2025-01,KS00/91001120,1,1,0,218813.91,0,218813.91,153280.53,153280.53,0
EA37,2025-11,KS00/24014285,0,2,-2,0,-216543.38,216543.38,0,0,0
EA37,2025-10,KS00/24014285,0,2,-2,0,212738.35,-212738.35,0,0,0
EA11,2025-12,KS00/31004106,3,3,0,-36231.69,172937.16,-209168.85,0,0,0
EA11,2025-12,KS00/63300100,3,3,0,209168.85,0,209168.85,158616,158616,0
EA37,2025-12,KS00/31005140,4,4,0,-42054.97,161529.61,-203584.58,0,0,0
EA37,2025-12,KS00/31302210,2,2,0,-203342.05,0,-203342.05,0,0,0
EA37,2025-12,KS00/91001120,1,1,0,203342.05,0,203342.05,0,0,0
EA37,2025-10,KS00/31302210,2,2,0,-195104.08,0,-195104.08,0,0,0
EA37,2025-10,KS00/91001120,1,1,0,195104.08,0,195104.08,0,0,0
EA18,2025-08,KS00/24014290,0,1,-1,0,-194999.15,194999.15,0,0,0
EA18,2025-05,KS00/24014290,0,1,-1,0,192791.08,-192791.08,0,0,0
EA37,2025-09,KS00/24014285,0,2,-2,0,192650.54,-192650.54,0,0,0
EA18,2025-07,KS00/24014290,0,1,-1,0,192022.22,-192022.22,0,0,0
EA18,2025-01,KS00/22101400,1,0,1,-183552,0,-183552,0,0,0
EA18,2025-01,KS00/85101210,1,0,1,183552,0,183552,0,0,0
EA12,2025-12,KS00/91001110,2,0,2,-180930.7,0,-180930.7,0,0,0
EA18,2025-10,KS00/24014290,0,1,-1,0,180773.9,-180773.9,0,0,0
EA18,2025-06,KS00/24014290,0,1,-1,0,-177475.92,177475.92,0,0,0
EA18,2025-09,KS00/24014290,0,1,-1,0,177364.06,-177364.06,0,0,0
EA37,2025-12,KS00/63100400,1,1,0,-126870,49234,-176104,0,0,0
EA37,2025-12,KS00/24014285,0,2,-2,0,-155234.28,155234.28,0,0,0
EA37,2025-12,KS00/22101500,3,3,0,103993.06,-46384.19,150377.25,0,0,0
EA18,2025-03,KS00/24014290,0,1,-1,0,-146165.17,146165.17,0,0,0
EA18,2025-12,KS00/24014290,0,1,-1,0,-134324.61,134324.61,0,0,0
EA37,2025-01,KS00/91001120,1,0,1,111039.97,0,111039.97,0,0,0
EA01,2025-02,KS00/33102121,1,1,0,-47430.25,60718.25,-108148.5,0,0,0
EA11,2025-12,KS00/31302210,1,1,0,-104310,0,-104310,0,0,0
EA11,2025-12,KS00/91001120,1,1,0,104310,0,104310,198613.49,198613.49,0
EA37,2025-08,KS00/24014280,0,3,-3,0,-99711.81,99711.81,0,0,0
EA37,2025-12,KS00/63200110,1,1,0,80609.33,-9545.07,90154.4,0,0,0
EA37,2025-01,KS00/31104100,5,5,0,-266003.46,-179298.5,-86704.96,0,0,0
EA37,2025-01,KS00/10012160,1,1,0,81305,0,81305,0,0,0
EA37,2025-01,KS00/70909121,1,1,0,0,81305,-81305,0,0,0
EA37,2025-12,KS00/10012160,1,1,0,81253.4,0,81253.4,0,0,0
EA37,2025-12,KS00/70909121,1,1,0,0,81253.4,-81253.4,0,0,0
EA11,2025-12,KS00/83001110,2,2,0,89550,8950,80600,8950,8950,0
EA11,2025-12,KS00/83001170,1,1,0,81173,5735,75438,5735,5735,0
EA11,2025-12,KS00/10015300,3,3,0,71406.7,0,71406.7,0,0,0
EA37,2025-01,KS00/63200110,1,1,0,137692.41,67516.9,70175.51,0,0,0
EA12,2025-12,KS00/63101200,4,3,1,-20659.53,48028.2,-68687.73,13288,13288,0
EA12,2025-12,KS00/31003100,8,8,0,-79827.1,-148514.83,68687.73,0,0,0
EA01,2025-01,KS00/33102121,1,1,0,-17888.25,50725.25,-68613.5,0,0,0
EA01,2025-01,KS00/39101120,1,1,0,-65324.8,0,-65324.8,0,0,0
EA01,2025-02,KS00/39101120,1,1,0,-65324.8,0,-65324.8,0,0,0
EA11,2025-12,KS00/63101401,1,1,0,64654,129308,-64654,69454,69454,0
EA37,2025-12,KS00/87101127,2,2,0,184611.15,119971.15,64640,0,0,0
EA01,2025-02,KS00/44203110,1,1,0,63713.91,0,63713.91,0,0,0
EA01,2025-01,KS00/44203110,1,1,0,63555.03,0,63555.03,0,0,0
EA37,2025-09,KS00/24014281,0,5,-5,0,62583.42,-62583.42,0,0,0
EA01,2025-01,KS00/86105400,1,0,1,62552.91,0,62552.91,0,0,0
EA01,2025-01,KS00/11115100,1,1,0,-62552.91,0,-62552.91,0,0,0
EA01,2025-02,KS00/11115100,1,1,0,-62552.91,0,-62552.91,0,0,0
EA01,2025-02,KS00/86105400,1,1,0,62552.91,0,62552.91,0,0,0
EA37,2025-02,KS00/24014281,0,5,-5,0,-61405.38,61405.38,0,0,0
EA37,2025-07,KS00/24014281,0,5,-5,0,-60431.45,60431.45,0,0,0
EA37,2025-12,KS00/53000100,1,1,0,-2375157.37,-2432174.77,57017.4,0,0,0
EA37,2025-03,KS00/24014281,0,5,-5,0,56878.08,-56878.08,0,0,0
EA22,2025-12,KS00/10015300,2,2,0,49150,0,49150,0,0,0
EA37,2025-12,KS00/91001110,1,0,1,-47038.61,0,-47038.61,0,0,0
EA37,2025-12,KS00/31302110,2,2,0,-6149.8,-53188.41,47038.61,0,0,0
EA37,2025-01,KS00/24014281,0,5,-5,0,44092.26,-44092.26,0,0,0
EA11,2025-12,KS00/63101500,1,1,0,44230,86730,-42500,50800,50800,0
EA37,2025-06,KS00/24014281,0,5,-5,0,37194.09,-37194.09,0,0,0
EA11,2025-12,KS00/83001160,1,1,0,55412.08,19477.08,35935,19477.12,19477.12,0
EA11,2025-12,KS00/83001130,1,0,1,35828,0,35828,0,0,0
EA18,2025-04,KS00/24050731,6,6,0,-1605.94,-36647.01,35041.07,0,0,0
EA37,2025-03,KS00/24014285,0,2,-2,0,-34733.65,34733.65,0,0,0
EA11,2025-12,KS00/31302410,1,1,0,-33770,0,-33770,0,0,0
EA11,2025-12,KS00/91001210,1,1,0,33770,0,33770,0,0,0
EA18,2025-04,KS00/53002100,1,1,0,-165975.46,-133827.69,-32147.77,-140220,-140220,0
EA01,2025-01,KS00/80203332,1,1,0,39476.25,7895.25,31581,44072.5,0,44072.5
EA11,2025-12,KS00/83001140,1,1,0,34551.63,3037,31514.63,3037,3037,0
EA37,2025-12,KS00/85009512,3,3,0,-1037.71,26950.61,-27988.32,0,0,0
EA11,2025-12,KS00/23304117,5,5,0,26866,25,26841,0,0,0
EA37,2025-12,KS00/63400200,1,1,0,-10518.2,15925.3,-26443.5,0,0,0
EA37,2025-05,KS00/24014281,0,5,-5,0,-26408.79,26408.79,0,0,0
EA37,2025-04,KS00/24014281,0,5,-5,0,-25672.29,25672.29,0,0,0
EA11,2025-12,KS00/59107120,4,4,0,-23120,0,-23120,-50,-50,0
EA37,2025-12,KS00/24014281,0,5,-5,0,22066.71,-22066.71,0,0,0
EA11,2025-12,KS00/85009512,3,3,0,23767.77,3420.85,20346.92,4146.87,4146.87,0
EA11,2025-12,KS00/83003110,1,0,1,19683,0,19683,0,0,0
EA37,2025-12,KS00/33101129,3,3,0,-18733.57,0,-18733.57,0,0,0
EA22,2025-12,KS00/23304117,3,3,0,-18490,0,-18490,0,0,0
EA22,2025-12,KS00/59107220,2,2,0,-50,-18540,18490,0,0,0
EA37,2025-10,KS00/24014281,0,5,-5,0,-17730.2,17730.2,0,0,0
EA01,2025-01,KS00/80205110,1,0,1,17626.88,0,17626.88,8489.75,0,8489.75
EA37,2025-03,KS00/24014282,0,5,-5,0,-16997.37,16997.37,0,0,0
EA37,2025-01,KS00/53002100,2,2,0,-159201.9,-175731.35,16529.45,0,0,0
EA37,2025-12,KS00/80205310,3,0,3,15960.57,0,15960.57,0,0,0
EA01,2025-02,KS00/80203360,1,0,1,14500,0,14500,0,0,0
EA37,2025-12,KS00/80205120,4,4,0,-13459.51,54.48,-13513.99,0,0,0
EA37,2025-12,KS00/31301300,5,5,0,-306807.61,-294391.14,-12416.47,0,0,0
EA01,2025-02,KS00/80205110,1,1,0,13846.13,1667.21,12178.92,8489.75,8489.75,0
EA37,2025-10,KS00/24014282,0,5,-5,0,12118.1,-12118.1,0,0,0
EA18,2025-12,KS00/31104100,6,6,0,-508468.96,-496704.23,-11764.73,0,0,0
EA18,2025-12,KS00/59008130,1,0,1,11568.92,0,11568.92,0,0,0
EA37,2025-08,KS00/24014282,0,5,-5,0,11129.8,-11129.8,0,0,0
EA37,2025-09,KS00/24014282,0,5,-5,0,-11129.8,11129.8,0,0,0
EA37,2025-08,KS00/24014281,0,5,-5,0,11074.96,-11074.96,0,0,0
EA37,2025-12,KS00/83009110,2,2,0,-10639.6,0,-10639.6,0,0,0
EA37,2025-05,KS00/24014282,0,5,-5,0,-10228.87,10228.87,0,0,0
EA37,2025-02,KS00/24014282,0,5,-5,0,10205,-10205,0,0,0
EA01,2025-01,KS00/91001120,1,0,1,9333.01,0,9333.01,0,0,0
EA01,2025-02,KS00/31302210,2,2,0,9333.01,0,9333.01,0,0,0
EA01,2025-02,KS00/91001120,1,1,0,-9333.01,0,-9333.01,0,0,0
EA37,2025-04,KS00/24014282,0,5,-5,0,9101.74,-9101.74,0,0,0
EA11,2025-12,KS00/80205310,3,0,3,8276.18,0,8276.18,0,0,0
EA22,2025-12,KS00/83001140,1,1,0,8576.91,709.25,7867.66,712,712,0
EA22,2025-01,KS00/91001120,1,0,1,7678,0,7678,4105,0,4105
EA22,2025-01,KS00/31302210,1,1,0,91365.74,99043.74,-7678,0,0,0
EA11,2025-12,KS00/80205120,4,4,0,5544.51,13079.61,-7535.1,4089.32,4089.32,0
EA22,2025-12,KS00/63101500,1,1,0,5777,13222,-7445,14000,14000,0
EA22,2025-12,KS00/31302210,1,1,0,7437.93,0,7437.93,0,0,0
EA22,2025-12,KS00/91001120,1,1,0,-7437.93,0,-7437.93,15606,15606,0
EA37,2025-12,KS00/53000130,1,1,0,-369701.4,-376873.4,7172,0,0,0
EA11,2025-12,KS00/59107220,4,4,0,-11593.8,-4612.8,-6981,-1156.01,-1156.01,0
EA12,2025-12,KS00/80201010,7,7,0,295090,288140,6950,316461.6,316461.6,0
EA11,2025-12,KS00/83009110,3,3,0,9859.9,3237.5,6622.4,3236,3236,0
EA01,2025-02,KS00/80203332,1,1,0,14321.25,7895.25,6426,44072.5,44072.5,0
EA12,2025-12,KS00/31908200,7,7,0,-1211,4627,-5838,0,0,0
EA37,2025-12,KS00/10106100,3,3,0,-5686.98,0,-5686.98,0,0,0
EA37,2025-12,KS00/86006100,3,3,0,5686.98,0,5686.98,0,0,0
EA22,2025-12,KS00/31104100,4,4,0,10117.99,5193.65,4924.34,0,0,0
EA11,2025-12,KS00/83001120,1,1,0,5547.75,639.75,4908,639.75,639.75,0
EA22,2025-12,KS00/83004210,1,1,0,1000,5000,-4000,1000,1000,0
EA22,2025-12,KS00/63101401,1,1,0,4567.16,8537.16,-3970,4170,4170,0
EA37,2025-12,KS00/80201110,2,2,0,14848.87,11033.38,3815.49,0,0,0
EA37,2025-12,KS00/31908200,1,1,0,-8838.39,-5225.2,-3613.19,0,0,0
EA37,2025-12,KS00/80203332,3,3,0,28738.75,25219.75,3519,0,0,0
EA37,2025-11,KS00/24014281,0,5,-5,0,-3511.97,3511.97,0,0,0
EA37,2025-12,KS00/87101130,1,1,0,62408.61,58920.22,3488.39,0,0,0
EA11,2025-12,KS00/85005130,4,4,0,4164,904,3260,464.01,464.01,0
EA12,2025-12,KS00/31104100,8,8,0,-4192378.67,-4189249.13,-3129.54,0,0,0
EA37,2025-11,KS00/24014282,0,5,-5,0,3048.73,-3048.73,0,0,0
EA37,2025-12,KS00/85009130,1,1,0,3000,0,3000,0,0,0
EA37,2025-12,KS00/24014282,0,5,-5,0,2899.67,-2899.67,0,0,0
EA18,2025-04,KS00/31301300,6,6,0,865606.03,868499.33,-2893.3,0,0,0
EA11,2025-01,KS00/91001210,1,0,1,-2620,0,-2620,0,0,0
EA11,2025-01,KS00/31302410,1,1,0,2620,0,2620,0,0,0
EA11,2025-12,KS00/87101130,2,2,0,9468.47,6981.95,2486.52,7500,7500,0
EA12,2025-12,KS00/33102121,7,7,0,-6040.23,-3881.5,-2158.73,0,0,0
EA11,2025-12,KS00/31908200,3,3,0,-3156.45,-1040.94,-2115.51,0,0,0
EA11,2025-12,KS00/22305100,5,5,0,15275.57,17333.8,-2058.23,0,0,0
EA11,2025-12,KS00/63400200,1,1,0,2058.23,0,2058.23,1463.56,1463.56,0
EA37,2025-10,KS00/31402110,3,3,0,41401.4,39401.4,2000,0,0,0
EA22,2025-12,KS00/83001120,1,1,0,2218.92,255.92,1963,255,255,0
EA11,2025-12,KS00/80201110,2,2,0,2944.99,1134.89,1810.1,1013.45,1013.45,0
EA01,2025-01,KS00/84004110,1,0,1,1769.77,0,1769.77,0,0,0
EA22,2025-12,KS00/10115300,2,2,0,-1750.15,0,-1750.15,0,0,0
EA22,2025-12,KS00/86012200,2,2,0,1750.15,0,1750.15,3362.59,3362.59,0
EA37,2025-12,KS00/63100300,1,1,0,306612,308324,-1712,0,0,0
EA11,2025-12,KS00/33102121,5,5,0,-7396.5,-5689,-1707.5,0,0,0
EA01,2025-02,KS00/84004110,1,1,0,1610.89,0,1610.89,0,0,0
EA37,2025-12,KS00/33102121,2,2,0,-5310,-3720.5,-1589.5,0,0,0
EA12,2025-12,KS00/63105100,4,4,0,53727,52227,1500,46000,46000,0
EA37,2025-12,KS00/53000140,1,1,0,-73866.65,-75301.05,1434.4,0,0,0
EA11,2025-12,KS00/80203332,3,3,0,21301,19886,1415,18377.74,18377.74,0
EA37,2025-10,KS00/24014286,0,4,-4,0,-1350,1350,0,0,0
EA37,2025-11,KS00/24014286,0,4,-4,0,1350,-1350,0,0,0
EA37,2025-07,KS00/24014286,0,4,-4,0,-1308,1308,0,0,0
EA37,2025-08,KS00/24014286,0,4,-4,0,1308,-1308,0,0,0
EA11,2025-12,KS00/10115300,4,4,0,-9790.97,-8601.15,-1189.82,0,0,0
EA11,2025-12,KS00/86012200,3,3,0,9790.97,8601.15,1189.82,9204,9204,0
EA37,2025-06,KS00/24014282,0,5,-5,0,1172.99,-1172.99,0,0,0
EA37,2025-07,KS00/24014282,0,5,-5,0,-1172.99,1172.99,0,0,0
EA11,2025-12,KS00/80204111,3,1,2,1171.89,0,1171.89,177.31,177.31,0
EA12,2025-12,KS00/63101110,2,2,0,2046,966,1080,4706.7,4706.7,0
EA12,2025-12,KS00/59107120,5,5,0,-24992.66,-24006.58,-986.08,-12000,-12000,0
EA12,2025-12,KS00/80203332,6,6,0,48039.27,47053.27,986,53058.43,53058.43,0
EA37,2025-12,KS00/87101124,1,1,0,15250.49,14323.6,926.89,0,0,0
EA12,2025-12,KS00/25002110,4,4,0,-68534.66,-69439.41,904.75,0,0,0
EA11,2025-12,KS00/24065237,5,5,0,-4183.52,-3283.52,-900,0,0,0
EA11,2025-12,KS00/31001100,5,5,0,-204739.08,-205639.08,900,0,0,0
EA01,2025-01,KS00/80205329,1,0,1,750,0,750,980,0,980
EA01,2025-02,KS00/80205329,1,1,0,750,0,750,980,980,0
EA22,2025-12,KS00/83001110,1,1,0,2776.67,2116.67,660,2113,2113,0
EA37,2025-12,KS00/80201010,3,3,0,95620,95020,600,0,0,0
EA11,2025-12,KS00/80201010,5,4,1,92808.26,92214.35,593.91,93149.97,93149.97,0
EA12,2025-12,KS00/63100220,2,2,0,1149.54,600,549.54,1411,1411,0
EA37,2025-12,KS00/10115300,2,2,0,-434.11,0,-434.11,0,0,0
EA37,2025-12,KS00/86012200,1,1,0,434.11,0,434.11,0,0,0
EA37,2025-04,KS00/24014286,0,4,-4,0,400,-400,0,0,0
EA37,2025-01,KS00/24014286,0,3,-3,0,-400,400,0,0,0
EA11,2025-12,KS00/39101120,2,2,0,0,333,-333,0,0,0
EA01,2025-02,KS00/80203350,1,1,0,315,0,315,323.41,323.41,0
EA01,2025-01,KS00/80203350,1,0,1,313,0,313,323.41,0,323.41
EA11,2025-12,KS00/11115100,2,2,0,-304.03,0,-304.03,0,0,0
EA11,2025-12,KS00/86105400,1,1,0,304.03,0,304.03,312.84,312.84,0
EA11,2025-12,KS00/44203110,2,2,0,297.46,0,297.46,0,0,0
EA11,2025-12,KS00/63100210,2,1,1,6248.64,5961.5,287.14,1822,1822,0
EA18,2025-01,KS00/10012160,1,1,0,182707.4,182499.74,207.66,0,0,0
EA18,2025-01,KS00/19100110,5,5,0,-182707.4,-182499.74,-207.66,0,0,0
EA18,2025-01,KS00/31004100,3,3,0,36965.5,36757.84,207.66,0,0,0
EA18,2025-01,KS00/70909121,1,1,0,0,207.66,-207.66,0,0,0
EA18,2025-12,KS00/84102110,3,3,0,407.47,211.66,195.81,150,150,0
EA11,2025-12,KS00/80205322,3,3,0,17184.6,17021.51,163.09,675,675,0
EA12,2025-12,KS00/87101130,1,1,0,39920.26,39847.64,72.62,40000,40000,0
EA22,2025-12,KS00/10106100,2,2,0,-72.33,0,-72.33,0,0,0
EA22,2025-12,KS00/86006100,1,1,0,72.33,0,72.33,1183.52,1183.52,0
EA18,2025-12,KS00/25002110,6,6,0,-55704.74,-55767.98,63.24,0,0,0
EA12,2025-12,KS00/80205329,6,6,0,2880.87,2830.87,50,5922.5,5922.5,0
EA12,2025-12,KS00/31004107,1,1,0,-12652.32,-12697.93,45.61,0,0,0
EA18,2025-12,KS00/87101130,1,1,0,21818.58,21856.32,-37.74,21666,21666,0
EA12,2025-12,KS00/87101124,2,2,0,18262.11,18298.03,-35.92,27000,27000,0
EA11,2025-12,KS00/84004110,1,1,0,35.54,0,35.54,35.14,35.14,0
EA37,2025-12,KS00/80205329,3,3,0,2341.2,2310,31.2,0,0,0
EA18,2025-12,KS00/87101124,1,1,0,96818.12,96843.62,-25.5,20000,20000,0
EA37,2025-12,KS00/10107100,1,1,0,-25.17,0,-25.17,0,0,0
EA37,2025-12,KS00/86007100,1,1,0,25.17,0,25.17,0,0,0
EA37,2025-12,KS00/25002110,4,4,0,25275.87,25258.26,17.61,0,0,0
EA12,2025-12,KS00/80203350,6,6,0,163.08,152.35,10.73,499.2,499.2,0
EA37,2025-12,KS00/80203350,3,3,0,212,202,10,0,0,0
EA11,2025-12,KS00/80203350,3,3,0,199,195,4,192.69,192.69,0
EA01,2025-02,KS00/31909150,1,1,0,1,0,1,0,0,0
EA11,2025-12,KS00/87101124,2,2,0,7946.53,7945.53,1,7000,7000,0
EA12,2025-12,KS00/31004105,2,2,0,-722858.5,-722857.5,-1,0,0,0
EA11,2025-12,KS00/25002110,5,5,0,19858.85,19858.37,0.48,0,0,0
EA12,2025-12,KS00/23301400,1,1,0,-265.2,-265.22,0.02,0,0,0
EA12,2025-12,KS00/31004103,1,1,0,-23633.22,-23633.24,0.02,0,0,0
EA12,2025-12,KS00/59104110,2,2,0,-2057.55,-2057.53,-0.02,0,0,0
EA11,2025-01,KS00/53000100,1,1,0,-1283221.42,-1283221.42,0,-1272799.77,0,-1272799.77
EA11,2025-01,KS00/53000130,2,2,0,-294414.01,-294414.01,0,-290612.14,0,-290612.14
EA11,2025-01,KS00/63300100,3,3,0,150480.83,150480.83,0,158616,0,158616
EA22,2025-01,KS00/53000100,1,1,0,-156300.44,-156300.44,0,-148035.05,0,-148035.05
EA11,2025-01,KS00/53002100,2,2,0,-128302.54,-128302.54,0,-134337,0,-134337
EA11,2025-01,KS00/53000110,1,1,0,-97665.16,-97665.16,0,-99144.85,0,-99144.85
EA11,2025-01,KS00/80201010,3,3,0,80530,80530,0,93149.96,0,93149.96
EA01,2025-01,KS00/80202010,1,1,0,78707.72,78707.72,0,84905.6,0,84905.6
EA11,2025-01,KS00/63200110,2,2,0,63793.78,63793.78,0,78000,0,78000
EA11,2025-01,KS00/53000140,2,2,0,-73009.99,-73009.99,0,-72653.03,0,-72653.03
EA11,2025-01,KS00/85005150,1,1,0,85250.1,85250.1,0,70506,0,70506
EA11,2025-01,KS00/63101401,1,1,0,58254,58254,0,61454,0,61454
EA11,2025-01,KS00/63101500,1,1,0,36472.58,36472.58,0,42500,0,42500
EA22,2025-01,KS00/53000130,2,2,0,-39966.72,-39966.72,0,-41305.44,0,-41305.44
EA11,2025-01,KS00/59301115,1,1,0,-31500,-31500,0,-31500,0,-31500
EA22,2025-01,KS00/83001180,2,2,0,31500,31500,0,31500,0,31500
EA11,2025-01,KS00/63101600,2,2,0,17117.66,17117.66,0,30881.85,0,30881.85
EA11,2025-01,KS00/80202010,3,3,0,20666,20666,0,23287.49,0,23287.49
EA11,2025-01,KS00/59107200,1,1,0,-21138.24,-21138.24,0,-23074,0,-23074
EA11,2025-01,KS00/83001160,1,1,0,19477.08,19477.08,0,19477.08,0,19477.08
EA22,2025-01,KS00/63300100,2,2,0,18850.83,18850.83,0,18850.83,0,18850.83
EA11,2025-01,KS00/80203332,3,3,0,16895,16895,0,18377.64,0,18377.64
EA11,2025-01,KS00/53001110,1,1,0,-16787.5,-16787.5,0,-15600,0,-15600
EA01,2025-01,KS00/80205120,1,1,0,1269.42,1269.42,0,14909.42,0,14909.42
EA22,2025-01,KS00/84002160,1,1,0,12906.64,12906.64,0,12907,0,12907
EA11,2025-01,KS00/59104230,1,1,0,-12906.64,-12906.64,0,-12906.64,0,-12906.64
EA11,2025-01,KS00/59104110,1,1,0,-23250,-23250,0,-12230.14,0,-12230.14
EA11,2025-01,KS00/53002130,1,1,0,-19040,-19040,0,-11200,0,-11200
EA11,2025-01,KS00/63100300,1,1,0,9660,9660,0,10160,0,10160
EA11,2025-01,KS00/63105100,2,1,1,980,980,0,10000,0,10000
EA11,2025-01,KS00/87101122,1,1,0,9500,9500,0,9500,0,9500
EA11,2025-01,KS00/63100100,1,0,1,0,0,0,9323,0,9323
